"原文","译文"
"ヒートバリア","炽热屏障"
"コールドバリア","寒冷屏障"
"吸収魔法Ａ","吸收魔法A"
"吸収魔法Ｂ","吸收魔法B"
"炎魔法・単Ａ","火焰魔法·单体A"
"炎魔法・単Ｂ","火焰魔法·单体B"
"炎魔法・単Ｃ","火焰魔法·单体C"
"炎魔法・全Ａ","火焰魔法·全体A"
"炎魔法・全Ｂ","火焰魔法·全体B"
"炎魔法・全Ｃ","火焰魔法·全体C"
"冷気魔法・単Ａ","寒气魔法·单体A"
"冷気魔法・単Ｂ","寒气魔法·单体B"
"冷気魔法・単Ｃ","寒气魔法·单体C"
"冷気魔法・全Ａ","寒气魔法·全体A"
"冷気魔法・全Ｂ","寒气魔法·全体B"
"冷気魔法・全Ｃ","寒气魔法·全体C"
"雷魔法・単Ａ","雷电魔法·单体A"
"雷魔法・単Ｂ","雷电魔法·单体B"
"雷魔法・単Ｃ","雷电魔法·单体C"
"雷魔法・全Ａ","雷电魔法·全体A"
"雷魔法・全Ｂ","雷电魔法·全体B"
"雷魔法・全Ｃ","雷电魔法·全体C"
"水魔法・単Ａ","水魔法·单体A"
"水魔法・単Ｂ","水魔法·单体B"
"水魔法・単Ｃ","水魔法·单体C"
"水魔法・全Ａ","水魔法·全体A"
"水魔法・全Ｂ","水魔法·全体B"
"水魔法・全Ｃ","水魔法·全体C"
"大地魔法・単Ａ","大地魔法·单体A"
"大地魔法・単Ｂ","大地魔法·单体B"
"大地魔法・単Ｃ","大地魔法·单体C"
"大地魔法・全Ａ","大地魔法·全体A"
"大地魔法・全Ｂ","大地魔法·全体B"
"大地魔法・全Ｃ","大地魔法·全体C"
"風魔法・単Ａ","风魔法·单体A"
"風魔法・単Ｂ","风魔法·单体B"
"風魔法・単Ｃ","风魔法·单体C"
"風魔法・全Ａ","风魔法·全体A"
"風魔法・全Ｂ","风魔法·全体B"
"風魔法・全Ｃ","风魔法·全体C"
"神聖魔法・単Ａ","神圣魔法·单体A"
"神聖魔法・単Ｂ","神圣魔法·单体B"
"神聖魔法・単Ｃ","神圣魔法·单体C"
"神聖魔法・全Ａ","神圣魔法·全体A"
"神聖魔法・全Ｂ","神圣魔法·全体B"
"神聖魔法・全Ｃ","神圣魔法·全体C"
"暗黒魔法・単Ａ","暗黑魔法·单体A"
"暗黒魔法・単Ｂ","暗黑魔法·单体B"
"暗黒魔法・単Ｃ","暗黑魔法·单体C"
"暗黒魔法・全Ａ","暗黑魔法·全体A"
"暗黒魔法・全Ｂ","暗黑魔法·全体B"
"暗黒魔法・全Ｃ","暗黑魔法·全体C"
"無属性魔法・単Ａ","无属性魔法·单体A"
"無属性魔法・単Ｂ","无属性魔法·单体B"
"無属性魔法・単Ｃ","无属性魔法·单体C"
"無属性魔法・全Ａ","无属性魔法·全体A"
"無属性魔法・全Ｂ","无属性魔法·全体B"
"無属性魔法・全Ｃ","无属性魔法·全体C"
"剣","剑"
"槍","枪"
"打撃","打击"
"弓","弓"
"炎","炎"
"冷気","冷气"
"雷","雷"
"水","水"
"大地","大地"
"風","风"
"神聖","神圣"
"暗黒","暗黑"
"攻撃力","攻击力"
"防御力","防御力"
"精神力","精神力"
"敏捷性","敏捷性"
"吸収","吸收"
"基本セット","基本套装"
"外観セット","外观套装"
"内装セット","内装套装"
"ダンジョンセット","地下城套装"
"船セット","船只套装"
"戦闘不能","战斗不能"
"は倒れた！","倒下了！"
"を倒した！","击倒了！"
"は立ち上がった！","站起来了！"
"毒","中毒"
"は毒に冒された！","陷入中毒状态！"
"はすでに毒に冒されている！","已经处于中毒状态！"
"の毒が消えた！","的中毒状态消失了！"
"暗闇","致盲"
"は暗闇に閉ざされた！","陷入致盲状态！"
"を暗闇に閉ざした！","陷入致盲状态！"
"はすでに暗闇に閉ざされている！","已经处于致盲状态！"
"の暗闇が消えた！","的致盲状态消失了！"
"沈黙","沉默"
"は沈黙した！","陷入沉默状态！"
"を沈黙させた！","陷入沉默状态！"
"はすでに沈黙している！","已经处于沉默状态！"
"の沈黙が解けた！","的沉默状态解除了！"
"暴走","狂暴"
"は暴走した！","陷入狂暴状态！"
"を暴走させた！","陷入狂暴状态！"
"はすでに暴走している！","已经处于狂暴状态！"
"は我に返った！","恢复了正常！"
"混乱","混乱"
"は混乱した！","陷入混乱状态！"
"を混乱させた！","陷入混乱状态！"
"はすでに混乱している！","已经处于混乱状态！"
"睡眠","睡眠"
"は眠ってしまった！","睡着了！"
"を眠らせた！","睡着了！"
"はすでに眠っている！","已经睡着了！"
"は眠っている・・・","正在睡眠中……"
"は目を覚ました！","苏醒了！"
"麻痺","麻痹"
"は麻痺して動けなくなった！","麻痹了，无法行动！"
"を麻痺させた！","使其麻痹！"
"はすでに麻痺している！","已麻痹！"
"は麻痺していて動けない！","因麻痹而无法行动！"
"の麻痺が解けた！","麻痹状态已解除！"
"よろめき","踉跄"
"はバランスを崩した！","失去了平衡！"
"はよろめいている・・・","正在踉跄……"
"驚き","惊吓"
"は立ちすくんだ！","吓呆了！"
"は立ちすくんでいる・・・","仍然吓呆着……"
"アレックス","亚历克斯"
"勇者","勇者"
"ブライアン","布莱恩"
"戦士","战士"
"キャロル","卡罗尔"
"魔術師","魔术师"
"デイジー","黛西"
"僧侶","僧侣"
"エンリュウ","恩琉"
"格闘家","格斗家"
"ファルコン","法尔肯"
"盗賊","盗贼"
"ゴメス","戈麦斯"
"海賊","海贼"
"ヘレン","海伦"
"エルフ","精灵"
"ポーション","药水"
"ＨＰを 50 ポイント回復する。","恢复50点HP。"
"ハイポーション","高级药水"
"ＨＰを 250 ポイント回復する。","恢复250点HP。"
"マジックウォーター","魔法之水"
"ＭＰを 80 ポイント回復する。","恢复80点MP。"
"ミラクルドロップ","奇迹之滴"
"ＨＰ・ＭＰを完全に回復する。","完全恢复HP和MP。"
"スティミュラント","复活药"
"戦闘不能から復活させる。","使无法战斗者复活。"
"アンチドーテ","解毒剂"
"毒状態を回復する。","解除中毒状态。"
"ディスペルハーブ","驱散草药"
"戦闘不能以外の状態異常を回復する。","解除除了无法战斗以外的所有异常状态。"
"ポケットシェルター","口袋庇护所"
"味方全員を完全回復する。戦闘中は使用不可。","使我方全体完全恢复。战斗中无法使用。"
"--------------------","--------------------"
"ＨＰアップ","HP提升"
"最大ＨＰを 5 ポイント上げる。","最大HP提升5点。"
"ＭＰアップ","MP提升"
"最大ＭＰを 5 ポイント上げる。","最大MP提升5点。"
"パワーアップ","力量提升"
"攻撃力を 3 ポイント上げる。","攻击力提升3点。"
"ガードアップ","防御提升"
"防御力を 3 ポイント上げる。","防御力提升3点。"
"マインドアップ","精神提升"
"精神力を 3 ポイント上げる。","精神力提升3点。"
"スピードアップ","速度提升"
"敏捷性を 3 ポイント上げる。","敏捷性提升3点。"
"クラブ","木棒"
"シンプルな木製の棍棒。","一根简单的木制棍棒。"
"ロングソード","长剑"
"ごく一般的な量産型の長剣。","非常常见的大量生产型长剑。"
"ロングスピア","长矛"
"ごく一般的な量産型の槍。","非常常见的大量生产型长矛。"
"ロングボウ","长弓"
"ごく一般的な量産型の弓。","非常常见的大量生产型弓。"
"レザーウィップ","皮鞭"
"動物の皮を加工して作られた鞭。","用动物皮革加工制成的鞭子。"
"ブロードソード","阔剑"
"オーソドックスな幅広の剣。","传统的宽刃剑。"
"アイアンナックル","铁拳套"
"鉄で作られた格闘家用の爪。","铁制的格斗家专用爪。"
"メイス","钉头锤"
"金属製の純粋な打撃武器。","纯粹的金属制打击武器。"
"トライデント","三叉戟"
"農具から発展した三つ又の鉾。","由农具发展而来的三叉矛。"
"バスタードソード","混种剑"
"比較的扱いやすい両手剣。","相对容易使用的双手剑。"
"ラップドボウ","缠绕弓"
"動物の腱を裏打ちして強化した弓。","用动物肌腱加固强化的弓。"
"バトルアックス","战斧"
"木工具から発展した戦闘用の斧。","由木工工具发展而来的战斗用斧。"
"クレイモア","克莱莫大剑"
"敵を斬ることを重視して作られた両手剣。","着重于斩杀敌人而制作的双手剑。"
"ハルバート","戟"
"突くだけでなく叩き斬ることもできる槍。","不仅能刺，也能劈砍的长柄武器。"
"フレイル","连枷"
"棒の先に鉄球を鎖でつないだ打撃武器。","棒子前端用铁链连接铁球的打击武器。"
"フランベルジュ","火焰大剑"
"炎のように波打つ刃を持った両手剣。","刀刃如火焰般波浪起伏的双手剑。"
"クロスボウ","弩"
"通常の弓より威力のある矢を射出できる武器。","能射出比普通弓箭更具威力箭矢的武器。"
"モーニングスター","晨星锤"
"刺つきの鉄球が取り付けられたメイス。","带有尖刺铁球的狼牙棒。"
"ミスリルナックル","秘银拳套"
"魔法の金属ミスリル銀で作られた爪。","由魔法金属秘银制成的爪刃。"
"ミスリルスピア","秘银长枪"
"魔法の金属ミスリル銀で作られた槍。","由魔法金属秘银制成的长枪。"
"ミスリルソード","秘银剑"
"魔法の金属ミスリル銀で作られた片手剣。","由魔法金属秘银制成的单手剑。"
"グレートアックス","巨斧"
"柄を長くした強力なバトルアックス。","柄部加长的强力战斧。"
"グレートクロスボウ","巨型弩"
"改良を重ねられた扱いやすいクロスボウ。","经过反复改良，易于使用的弩。"
"ドラゴンウィップ","龙之鞭"
"ドラゴンのひげを加工して作られた鞭。","由龙须加工制成的鞭子。"
"ドラゴンスピア","龙之枪"
"ドラゴンの鱗を加工して作られた槍。","由龙鳞加工制成的长枪。"
"ドラゴンソード","龙之剑"
"ドラゴンの鱗を加工して作られた片手剣。","由龙鳞加工制成的单手剑。"
"ウッドシールド","木盾"
"ごく普通の木製の盾。","一面非常普通的木制盾牌。"
"ウィングシールド","翼盾"
"羽根飾りをあしらった美しい盾。","饰有羽毛装饰的美丽盾牌。"
"レザーシールド","皮革盾"
"動物の皮を貼り付けて作られた盾。","由动物皮革贴合制成的盾牌。"
"スケールシールド","鳞甲盾"
"小さな金属片を鱗状に縫い付けた盾。","将小金属片缝制成鳞状的盾牌。"
"ブロンズシールド","青铜盾"
"厚い青銅の板で作られた盾。","由厚重青铜板制成的盾牌。"
"アイアンシールド","铁盾"
"頑丈な鉄板を加工して作られた盾。","由坚固铁板加工制成的盾牌。"
"ミスリルシールド","秘银盾"
"魔法の金属ミスリル銀で作られた盾。","由魔法金属秘银制成的盾牌。"
"ドラゴンシールド","龙之盾"
"ドラゴンの鱗を加工して作られた盾。","由加工过的龙鳞制成的盾牌。"
"ローブ","长袍"
"広く普及している一般的なローブ。","广泛普及的普通长袍。"
"クロースアーマー","布甲"
"丈夫な布で作られた鎧。","由结实的布料制成的铠甲。"
"レザーアーマー","皮甲"
"なめし皮で作られた軽量の鎧。","由鞣制皮革制成的轻型铠甲。"
"リングメイル","环甲"
"金属製のリングを無数につなぎ合わせた鎧。","由无数金属环连接而成的铠甲。"
"マジックローブ","魔法长袍"
"丈夫な布で作られた魔法のローブ。","由结实布料制成的魔法长袍。"
"スケールメイル","鳞甲"
"小さな金属片を鱗状に重ねて作られた鎧。","由小块金属片像鳞片一样层叠制成的铠甲。"
"チェインメイル","锁子甲"
"細かい鎖を編んで作られた鎖かたびら。","由细小锁链编织而成的锁子甲。"
"ミスティクロース","迷雾布衣"
"特殊な生地で作られた動きやすい服。","由特殊面料制成的便于行动的服装。"
"ブロンズアーマー","青铜甲"
"厚い青銅の板で作られた鎧。","由厚重青铜板制成的铠甲。"
"アイアンアーマー","铁甲"
"頑丈な鉄板を加工して作られた鎧。","由加工过的坚固铁板制成的铠甲。"
"セイントローブ","圣者长袍"
"聖なる力を秘めた神々しいローブ。","蕴藏圣洁之力的神圣长袍。"
"ミスリルアーマー","秘银甲"
"魔法の金属ミスリル銀で作られた鎧。","由魔法金属秘银制成的铠甲。"
"ドラゴンメイル","龙鳞甲"
"ドラゴンの鱗を加工して作られた鎧。","由加工过的龙鳞制成的铠甲。"
"レザーハット","皮帽"
"なめし皮を固めて作られた軽量の帽子。","由鞣制皮革硬化制成的轻型帽子。"
"ウィングハット","羽翼帽"
"羽根飾りをあしらった美しい帽子。","装饰有羽毛的美丽帽子。"
"チェインコイフ","锁子头盔"
"細かい鎖を編んで作られた頭巾。","由细小锁链编织而成的头巾。"
"ブロンズヘルム","青铜头盔"
"厚い青銅の板で作られた兜。","由厚重青铜板制成的头盔。"
"アイアンヘルム","钢铁头盔"
"頑丈な鉄板を加工して作られた兜。","由坚固铁板加工制成的头盔。"
"サークレット","头冠"
"防護の魔法がかけられた頭飾り。","施加了防护魔法的头饰。"
"ミスリルヘルム","秘银头盔"
"魔法の金属ミスリル銀で作られた兜。","由魔法金属秘银银制成的头盔。"
"ドラゴンヘルム","龙之头盔"
"ドラゴンの鱗を加工して作られた兜。","由龙鳞加工制成的头盔。"
"アミュレット","护符"
"痛恨の一撃を受けなくなる護符。","使佩戴者不会受到痛恨一击的护符。"
"マジックペンダント","魔法坠饰"
"通常の半分のＭＰで特殊技能を使用できるようになる。","使用特殊技能时消耗的MP减半。"
"セーフティブーツ","安全靴"
"毒沼などの地形によるダメージを防ぐブーツ。","防止毒沼等地形伤害的靴子。"
"パワーバングル","力量手镯"
"攻撃力を上げ、暴走と混乱の確率を下げる腕輪。","提升攻击力，降低暴走和混乱概率的手镯。"
"マジックリング","魔法戒指"
"精神力を上げ、沈黙の確率を下げる指輪。","提升精神力，降低沉默概率的戒指。"
"スピードシューズ","速度之靴"
"敏捷性を高める魔法の靴。","提升敏捷性的魔法鞋。"
"ポイズンガード","毒素防护"
"毒状態を完全に防止する装飾品。","完全防止中毒状态的饰品。"
"スナイパーズアイ","狙击手之眼"
"暗闇状態を完全に防止する装飾品。","完全防止黑暗状态的饰品。"
"スライム","史莱姆"
"こうもり","蝙蝠"
"ホーネット","大黄蜂"
"大グモ","大蜘蛛"
"大蛇","大蛇"
"大サソリ","大蝎"
"ゴースト","幽灵"
"コボルト","狗头人"
"怪魚","怪鱼"
"鬼火","鬼火"
"使い魔","使魔"
"スケルトン","骷髅"
"ゴブリン","哥布林"
"ゾンビ","僵尸"
"オーク","兽人"
"マミー","木乃伊"
"ワーウルフ","狼人"
"ミミック","拟态怪"
"リッチ","巫妖"
"リザードマン","蜥蜴人"
"マーマン","鱼人"
"ヴァンパイア","吸血鬼"
"ケルベロス","刻耳柏洛斯"
"メデューサ","美杜莎"
"トレント","树人"
"コカトリス","鸡蛇"
"死神","死神"
"キマイラ","奇美拉"
"ダークエルフ","暗精灵"
"ガーゴイル","石像鬼"
"グリフォン","狮鹫"
"ミノタウロス","牛头怪"
"ハーピー","鹰身女妖"
"トルーパー","突击兵"
"ドラゴン","巨龙"
"ワイバーン","飞龙"
"ゴーレム","傀儡"
"ブラックナイト","黑骑士"
"龍","龙"
"デーモン","恶魔"
"クラーケン","克拉肯"
"ヒュドラ","九头蛇"
"ドラゴンナイト","龙骑士"
"魔王","魔王"
"魔神","魔神"
"毒攻撃","毒攻击"
"敵単体にダメージを与え、毒状態にする。","对单个敌人造成伤害，并使其进入中毒状态。"
"の攻撃！","的攻击！"
"暗闇攻撃","致盲攻击"
"敵単体にダメージを与え、暗闇状態にする。","对单个敌人造成伤害，并使其进入致盲状态。"
"睡眠攻撃","睡眠攻击"
"敵単体にダメージを与え、睡眠状態にする。","对单个敌人造成伤害，并使其进入睡眠状态。"
"麻痺攻撃","麻痹攻击"
"敵単体にダメージを与え、麻痺状態にする。","对单个敌人造成伤害，并使其进入麻痹状态。"
"火炎のブレス","火焰吐息"
"敵全体に炎属性のダメージを与える。","对所有敌人造成火焰属性伤害。"
"は火炎のブレスを吐いた！","吐出了火焰吐息！"
"吹雪のブレス","暴风雪吐息"
"敵全体に冷気属性のダメージを与える。","对所有敌人造成寒气属性伤害。"
"は吹雪のブレスを吐いた！","吐出了暴风雪吐息！"
"電撃","电击"
"敵全体に雷属性のダメージを与える。","对所有敌人造成雷电属性伤害。"
"は電撃を放った！","放出了电击！"
"津波","海啸"
"敵全体に水属性のダメージを与える。","对所有敌人造成水属性伤害。"
"は津波を放った！","放出了海啸！"
"石つぶて","碎石"
"敵全体に大地属性のダメージを与える。","对所有敌人造成大地属性伤害。"
"は石つぶてを放った！","放出了碎石！"
"鎌いたち","风刃"
"敵全体に風属性のダメージを与える。","对所有敌人造成风属性伤害。"
"は鎌いたちを放った！","放出了风刃！"
"毒のブレス","毒气吐息"
"敵全体を毒状態にする。","使所有敌人进入中毒状态。"
"は毒のブレスを吐いた！","吐出了毒气吐息！"
"眠りのブレス","睡眠吐息"
"敵全体を睡眠状態にする。","使所有敌人进入睡眠状态。"
"は眠りのブレスを吐いた！","吐出了睡眠吐息！"
"花粉（毒）","花粉（中毒）"
"は花粉をまき散らした！","散播了花粉！"
"花粉（暗闇）","花粉（黑暗）"
"敵全体を暗闇状態にする。","使全体敌人陷入黑暗状态。"
"花粉（暴走）","花粉（暴走）"
"敵全体を暴走状態にする。","使全体敌人陷入暴走状态。"
"花粉（混乱）","花粉（混乱）"
"敵全体を混乱状態にする。","使全体敌人陷入混乱状态。"
"花粉（麻痺）","花粉（麻痹）"
"敵全体を麻痺状態にする。","使全体敌人陷入麻痹状态。"
"超音波（暴走）","超声波（暴走）"
"は超音波を放った！","释放了超声波！"
"超音波（混乱）","超声波（混乱）"
"超音波（睡眠）","超声波（睡眠）"
"妖しい霧（沈黙）","妖雾（沉默）"
"敵全体を沈黙状態にする。","使全体敌人陷入沉默状态。"
"は妖しい霧を放った！","释放了妖雾！"
"妖しい霧（睡眠）","妖雾（睡眠）"
"沈黙の歌","沉默之歌"
"沈黙の歌を歌った！","唱起了沉默之歌！"
"子守り歌","摇篮曲"
"は子守り歌を歌った！","唱起了摇篮曲！"
"誘惑の歌","诱惑之歌"
"は誘惑の歌を歌った！","唱起了诱惑之歌！"
"砂けむり","沙尘"
"は砂けむりを巻き起こした！","卷起了沙尘！"
"まぶしい光","炫目光芒"
"はまぶしい光を放った！","释放了炫目光芒！"
"巻き付き","缠绕"
"は巻き付きで攻撃！","用缠绕攻击！"
"麻痺にらみ","麻痹凝视"
"敵単体を麻痺状態にする。","使单个敌人进入麻痹状态。"
"は鋭い目でにらみつけた！","锐利地瞪视着！"
"吸血","吸血"
"敵単体のＨＰを吸収する。","吸收单个敌人的HP。"
"の吸血攻撃！","的吸血攻击！"
"不気味なダンス","诡异之舞"
"敵単体のＭＰを吸収する。","吸收单个敌人的MP。"
"は不気味なダンスを踊った！","跳起了诡异的舞蹈！"
"体当たり","冲撞"
"敵単体にダメージを与え、バランスを崩させる。","对单个敌人造成伤害，并使其失去平衡。"
"は体当たりした！","进行了冲撞！"
"足払い","绊腿"
"敵単体のバランスを崩させる。","使单个敌人失去平衡。"
"は足払いを仕掛けた！","发动了绊腿！"
"おたけび","咆哮"
"敵全体を驚かせ、行動できなくする。","使所有敌人受惊，无法行动。"
"はおたけびをあげた！","发出了咆哮！"
"--------------------","--------------------"
"ヒールⅠ","治疗Ⅰ"
"味方単体のＨＰを 30 ポイント程度回復する。","恢复单个友方单位约30点HP。"
"はヒールⅠを唱えた！","咏唱了治疗Ⅰ！"
"ヒールⅡ","治疗Ⅱ"
"味方単体のＨＰを 120 ポイント程度回復する。","恢复单个友方单位约120点HP。"
"はヒールⅡを唱えた！","咏唱了治疗Ⅱ！"
"ヒールⅢ","治疗Ⅲ"
"味方単体のＨＰを 480 ポイント程度回復する。","恢复单个友方单位约480点HP。"
"はヒールⅢを唱えた！","咏唱了治疗Ⅲ！"
"リカバーⅠ","恢复Ⅰ"
"味方全体のＨＰを 20 ポイント程度回復する。","恢复所有友方单位约20点HP。"
"はリカバーⅠを唱えた！","咏唱了恢复Ⅰ！"
"リカバーⅡ","恢复Ⅱ"
"味方全体のＨＰを 80 ポイント程度回復する。","恢复所有友方单位约80点HP。"
"はリカバーⅡを唱えた！","施放了恢复 II！"
"リカバーⅢ","恢复 III"
"味方全体のＨＰを 320 ポイント程度回復する。","恢复我方全体320点左右的HP。"
"はリカバーⅢを唱えた！","施放了恢复 III！"
"キュアーⅠ","治愈 I"
"毒状態を回復する。","解除中毒状态。"
"はキュアーⅠを唱えた！","施放了治愈 I！"
"キュアーⅡ","治愈 II"
"毒、暗闇、沈黙、睡眠を回復する。","解除中毒、黑暗、沉默、睡眠状态。"
"はキュアーⅡを唱えた！","施放了治愈 II！"
"キュアーⅢ","治愈 III"
"戦闘不能以外の状態異常を回復する。","解除战斗不能以外的所有异常状态。"
"はキュアーⅢを唱えた！","施放了治愈 III！"
"レイズⅠ","复活 I"
"戦闘不能から復活させ、ＨＰを10％回復する。","从战斗不能状态中复活，并恢复10%的HP。"
"はレイズⅠを唱えた！","施放了复活 I！"
"レイズⅡ","复活 II"
"戦闘不能から復活させ、ＨＰを50％回復する。","从战斗不能状态中复活，并恢复50%的HP。"
"はレイズⅡを唱えた！","施放了复活 II！"
"レイズⅢ","复活 III"
"戦闘不能から復活させ、ＨＰを100％回復する。","从战斗不能状态中复活，并恢复100%的HP。"
"はレイズⅢを唱えた！","施放了复活 III！"
"ノックアウト","击倒"
"敵全体を一撃で倒す。","一击击倒所有敌人。"
"はノックアウトを唱えた！","施放了击倒！"
"ポイズン","中毒"
"はポイズンを唱えた！","施放了中毒！"
"ブラインド","致盲"
"はブラインドを唱えた！","施放了致盲！"
"サイレンス","沉默"
"はサイレンスを唱えた！","施放了沉默！"
"アンガー","愤怒"
"はアンガーを唱えた！","施放了愤怒！"
"コンフューズ","混乱"
"はコンフューズを唱えた！","施放了混乱！"
"スリープ","睡眠"
"はスリープを唱えた！","施放了睡眠！"
"パラライズ","麻痹"
"はパラライズを唱えた！","施放了麻痹！"
"ウェポンブレス","武器祝福"
"味方単体の攻撃力を上げる。","提升我方单体的攻击力。"
"はウェポンブレスを唱えた！","施放了武器祝福！"
"ウェポンカース","武器诅咒"
"敵全体の攻撃力を下げる。","降低敌方全体的攻击力。"
"はウェポンカースを唱えた！","施放了武器诅咒！"
"アーマーブレス","护甲祝福"
"味方単体の防御力を上げる。","提升我方单体的防御力。"
"はアーマーブレスを唱えた！","施放了护甲祝福！"
"アーマーカース","护甲诅咒"
"敵全体の防御力を下げる。","降低敌方全体的防御力。"
"はアーマーカースを唱えた！","施放了护甲诅咒！"
"スピリットブレス","精神祝福"
"味方単体の精神力を上げる。","提升我方单体的精神力。"
"はスピリットブレスを唱えた！","施放了精神祝福！"
"スピリットカース","精神诅咒"
"敵全体の精神力を下げる。","降低敌方全体的精神力。"
"はスピリットカースを唱えた！","施放了精神诅咒！"
"クイックムーブ","疾速移动"
"味方単体の敏捷性を上げる。","提升我方单体的敏捷性。"
"はクイックムーブを唱えた！","施放了疾速移动！"
"スロームーブ","缓慢移动"
"敵全体の敏捷性を下げる。","降低敌方全体的敏捷性。"
"はスロームーブを唱えた！","施放了缓慢移动！"
"ヒートバリア","热能屏障"
"味方全体をバリアで包み、炎の攻撃から身を守る。","用屏障包裹全体友军，使其免受火焰攻击。"
"はヒートバリアを唱えた！","施放了热能屏障！"
"コールドバリア","寒冰屏障"
"味方全体をバリアで包み、冷気の攻撃から身を守る。","用屏障包裹全体友军，使其免受寒气攻击。"
"はコールドバリアを唱えた！","施放了寒冰屏障！"
"ライフアブソーブ","生命吸收"
"はライフアブソーブを唱えた！","施放了生命吸收！"
"ソウルアブソーブ","灵魂吸收"
"はソウルアブソーブを唱えた！","施放了灵魂吸收！"
"テレポート","传送"
"行ったことがある町などに瞬間移動する。","瞬间移动到曾去过的城镇等地。"
"はテレポートを唱えた！","施放了传送！"
"エスケープ","逃脱"
"洞窟などの中から外へ脱出する。","从洞窟等地脱身而出。"
"はエスケープを唱えた！","施放了逃脱！"
"ファイアⅠ","火焰Ⅰ"
"敵単体に炎属性のダメージを与える。","对单个敌人造成火焰属性伤害。"
"はファイアⅠを唱えた！","施放了火焰Ⅰ！"
"ファイアⅡ","火焰Ⅱ"
"はファイアⅡを唱えた！","施放了火焰Ⅱ！"
"ファイアⅢ","火焰Ⅲ"
"はファイアⅢを唱えた！","施放了火焰Ⅲ！"
"フレイムⅠ","烈焰Ⅰ"
"はフレイムⅠを唱えた！","施放了烈焰Ⅰ！"
"フレイムⅡ","烈焰Ⅱ"
"はフレイムⅡを唱えた！","施放了烈焰Ⅱ！"
"フレイムⅢ","烈焰Ⅲ"
"はフレイムⅢを唱えた！","施放了烈焰Ⅲ！"
"アイスⅠ","寒冰Ⅰ"
"敵単体に冷気属性のダメージを与える。","对单个敌人造成寒冰属性伤害。"
"はアイスⅠを唱えた！","施放了寒冰Ⅰ！"
"アイスⅡ","寒冰Ⅱ"
"はアイスⅡを唱えた！","施放了冰Ⅱ！"
"アイスⅢ","冰Ⅲ"
"はアイスⅢを唱えた！","施放了冰Ⅲ！"
"ブリザードⅠ","暴风雪Ⅰ"
"はブリザードⅠを唱えた！","施放了暴风雪Ⅰ！"
"ブリザードⅡ","暴风雪Ⅱ"
"はブリザードⅡを唱えた！","施放了暴风雪Ⅱ！"
"ブリザードⅢ","暴风雪Ⅲ"
"はブリザードⅢを唱えた！","施放了暴风雪Ⅲ！"
"サンダーⅠ","雷电Ⅰ"
"敵単体に雷属性のダメージを与える。","对单个敌人造成雷属性伤害。"
"はサンダーⅠを唱えた！","施放了雷电Ⅰ！"
"サンダーⅡ","雷电Ⅱ"
"はサンダーⅡを唱えた！","施放了雷电Ⅱ！"
"サンダーⅢ","雷电Ⅲ"
"はサンダーⅢを唱えた！","施放了雷电Ⅲ！"
"スパークⅠ","闪电Ⅰ"
"はスパークⅠを唱えた！","施放了闪电Ⅰ！"
"スパークⅡ","闪电Ⅱ"
"はスパークⅡを唱えた！","施放了闪电Ⅱ！"
"スパークⅢ","闪电Ⅲ"
